date,BNB,TRX,APT,DOT,ATOM
2022-04-23,622868473.792717,,,,
2022-04-24,647189888.98394,,,,
2022-04-25,564529719.4717907,,,,
2022-04-26,615505973.6147729,,,,
2022-04-27,606129907.9074708,,,,
2022-04-28,559270052.7779737,,,,
2022-04-29,629149264.5303029,,,,
2022-04-30,684856986.904541,,,,
2022-05-01,529615711.89656,,,,
2022-05-02,527545110.8803103,,,,
2022-05-03,497245491.7759712,,,,
2022-05-04,500801410.3891074,,,,
2022-05-05,515383828.260907,,,,
2022-05-06,543441905.727172,,,,
2022-05-07,471622802.6211011,,,,
2022-05-08,433467012.4337641,,,,
2022-05-09,373004756.35458136,,,,
2022-05-10,492309254.2199666,,,,
2022-05-11,394287147.7378461,,,,
2022-05-12,615199013.5943623,,,,
2022-05-13,798341273.4857144,,,,
2022-05-14,568294672.4005787,,,,
2022-05-15,517380539.6514514,,,,
2022-05-16,424427823.7273954,,,,
2022-05-17,433544677.1644388,,,,
2022-05-18,357658584.46980995,,,,
2022-05-19,370650083.5850899,,,,
2022-05-20,371981022.7665421,,,,
2022-05-21,364748563.7500442,,,,
2022-05-22,339774036.0110444,,,,
2022-05-23,354866421.11343324,,,,
2022-05-24,464324874.5714356,,,,
2022-05-25,402476162.0815371,,,,
2022-05-26,438211036.2054939,,,,
2022-05-27,399295245.6534228,,,,
2022-05-28,358328183.80668545,,,,
2022-05-29,322220315.6018453,,,,
2022-05-30,406770982.7988705,,,,
2022-05-31,389147765.1639319,,,,
2022-06-01,372455532.4606626,,,,
2022-06-02,369406514.8437076,,,,
2022-06-03,351060643.9530952,,,,
2022-06-04,302814241.1352587,,,,
2022-06-05,296677337.2425719,,,,
2022-06-06,311527457.5549386,,,,
2022-06-07,352144678.5666144,,,,
2022-06-08,356123565.16328233,,,,
2022-06-09,364606227.9493129,,,,
2022-06-10,361587226.2123895,,,,
2022-06-11,319557051.2513755,,,,
2022-06-12,286031570.56596416,,,,
2022-06-13,246969097.34256548,,,,
2022-06-14,304288409.2307624,,,,
2022-06-15,326486973.5714862,,,,
2022-06-16,292661422.1375761,,,,
2022-06-17,237622602.81797963,,,,
2022-06-18,199477287.05125368,,,,
2022-06-19,242710980.28906855,,,,
2022-06-20,201528415.8213768,,,,
2022-06-21,241244488.48669904,,,,
2022-06-22,240968261.54408035,,,,
2022-06-23,233910806.5227261,,,,
2022-06-24,257630589.8391703,,,,
2022-06-25,259323570.4528004,,,,
2022-06-26,242767854.97534505,,,,
2022-06-27,229341419.6287172,,,,
2022-06-28,239479712.89450297,,,,
2022-06-29,249916385.87665248,,,,
2022-06-30,247742598.20940983,,,,
2022-07-01,258559969.52792755,,,,
2022-07-02,260996865.2734459,,,,
2022-07-03,215351267.1032636,,,,
2022-07-04,220002747.36816463,,,,
2022-07-05,268670263.0231446,,,,
2022-07-06,280349738.3071101,,,,
2022-07-07,258594923.79327205,,,,
2022-07-08,260181458.2429652,,,,
2022-07-09,271651831.08910125,,,,
2022-07-10,214432576.43208703,,,,
2022-07-11,203921501.0138803,,,,
2022-07-12,236825249.648511,,,,
2022-07-13,245701687.78867617,,,,
2022-07-14,258292457.49244404,,,,
2022-07-15,271935444.8515984,,,,
2022-07-16,309162283.4301049,,,,
2022-07-17,269094313.2742649,,,,
2022-07-18,270310723.4469561,,,,
2022-07-19,332360028.5308772,,,,
2022-07-20,300412717.1527346,,,,
2022-07-21,306113138.47696733,,,,
2022-07-22,275378516.05827487,,,,
2022-07-23,272646271.5974873,,,,
2022-07-24,233808853.66487056,,,,
2022-07-25,240213703.908635,,,,
2022-07-26,251250275.76385385,,,,
2022-07-27,242383674.62595105,,,,
2022-07-28,323208084.2403118,,,,
2022-07-29,298801910.8743511,,,,
2022-07-30,297685134.1084991,,,,
2022-07-31,302205442.3593196,,,,
2022-08-01,291503227.6480799,,,,
2022-08-02,290891188.36197263,,,,
2022-08-03,290233351.0172943,,,,
2022-08-04,298873565.158274,,,,
2022-08-05,316820308.23843646,,,,
2022-08-06,313144485.6727301,,,,
2022-08-07,299797466.2392134,,,,
2022-08-08,291222575.7199347,,,,
2022-08-09,326264489.0682646,,,,
2022-08-10,345456793.9061779,,,,
2022-08-11,378054673.0057925,,,,
2022-08-12,346352236.36505806,,,,
2022-08-13,322523128.4214068,,,,
2022-08-14,280560056.2199838,,,,
2022-08-15,273257377.3285305,,,,
2022-08-16,327354874.42118055,,,,
2022-08-17,284806674.09184664,,,,
2022-08-18,267792577.0968728,,,,
2022-08-19,269480237.6415945,,,,
2022-08-20,273322963.0513421,,,,
2022-08-21,238718028.2906823,,,,
2022-08-22,214372874.3401113,,,,
2022-08-23,250314690.1215,,,,
2022-08-24,257885456.7614731,,,,
2022-08-25,257065158.41921756,,,,
2022-08-26,244584106.3084928,,,,
2022-08-27,262429250.7269956,,,,
2022-08-28,238945833.62916,,,,
2022-08-29,238198126.42796457,,,,
2022-08-30,275382964.2063181,,,,
2022-08-31,281773012.6374619,,,,
2022-09-01,253647646.48090643,,,,
2022-09-02,272139186.54966044,,,,
2022-09-03,252351994.2990001,,,,
2022-09-04,234520420.23435763,,,,
2022-09-05,214603269.12936863,,,,
2022-09-06,264034538.33392075,,,,
2022-09-07,291692401.1919781,,,,
2022-09-08,281503929.1025579,,,,
2022-09-09,309313639.6022655,,,,
2022-09-10,365420924.3293941,,,,
2022-09-11,245785227.6378045,,,,
2022-09-12,229647105.27972817,,,,
2022-09-13,254584076.47319123,,,,
2022-09-14,252558515.2053761,,,,
2022-09-15,240703027.16850173,,,,
2022-09-16,263216317.50955087,,,,
2022-09-17,287588745.11637586,,,,
2022-09-18,212056648.5762427,,,,
2022-09-19,214637457.4405616,,,,
2022-09-20,243207907.23498145,,,,
2022-09-21,229572020.49420527,,,,
2022-09-22,238189201.76321736,,,,
2022-09-23,229557143.16709325,,,,
2022-09-24,215734199.6643843,,,,
2022-09-25,196287457.5334954,,,,
2022-09-26,206365208.43076956,,,,
2022-09-27,227614077.13524088,,,,
2022-09-28,231155669.8129504,,,,
2022-09-29,251701086.97734448,,,,
2022-09-30,227138150.76362243,,,,
2022-10-01,232040259.16981295,,,,
2022-10-02,212678961.17503768,,,,
2022-10-03,202904221.3961127,,,,
2022-10-04,203806365.21761203,,,,
2022-10-05,230448629.3262487,,,,
2022-10-06,230451900.968615,,,,
2022-10-07,244536299.87036735,,,,
2022-10-08,180983344.3861886,,,,
2022-10-09,192469483.603073,,,,
2022-10-10,185645967.3270502,,,,
2022-10-11,222367120.75118288,,,,
2022-10-12,347087704.9563365,,,,
2022-10-13,352251105.64123225,,,,
2022-10-14,267896024.36101723,,,,
2022-10-15,229145284.05377668,,,,
2022-10-16,202910467.4968889,,,,
2022-10-17,225790351.3007829,,,,
2022-10-18,255288689.28147215,,,,
2022-10-19,254943761.73804587,,,,
2022-10-20,341867338.2628547,,,,
2022-10-21,263873815.8856135,,,,
2022-10-22,248111111.74604493,,,,
2022-10-23,262251833.41913596,,,,
2022-10-24,236535787.76791036,,,,
2022-10-25,269920267.96464,,,,
2022-10-26,267558107.88435203,,,,
2022-10-27,267613504.71527815,,,,
2022-10-28,308293500.3172238,,,,
2022-10-29,254799080.65666732,,,,
2022-10-30,284492182.489171,,,,
2022-10-31,282701425.86809313,,,,
2022-11-01,320600784.8991322,,,,
2022-11-02,334346571.4203656,,,,
2022-11-03,331491727.45289856,,,,
2022-11-04,434906898.44589823,,,,
2022-11-05,415160280.2456113,,,,
2022-11-06,342737724.31575966,,,,
2022-11-07,302969888.13994694,,,,
2022-11-08,303093974.9790058,,,,
2022-11-09,320215245.917332,,,,
2022-11-10,350032842.2653801,,,,
2022-11-11,286621310.6054792,,,,
2022-11-12,253050581.43137065,,,,
2022-11-13,280009205.68515784,,,,
2022-11-14,254115108.24383456,,,,
