date,inflationrate,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,rewardrate1,marketcap,price
2022-01-01,,512420796.6652673,309149468.7638812,,396038677.7333285,0.8139257812468825,5.964148927118617,54656202272.0,176.59
2022-01-02,,512622596.7361676,309284595.4192725,,394969338.2825146,0.8329221525604114,5.988796462074904,54500603295.0,176.32
2022-01-03,,512622039.4100465,309284040.3120536,,394969333.10266,0.8350765925519088,6.004496180006755,52411237941.0,169.32
2022-01-04,,512621462.41879207,309283705.7940691,,394969304.2493395,0.835162020534419,6.005256886392282,52272480718.0,169.05
2022-01-05,,512823209.8317224,309419019.4724944,,394833679.89885205,0.7891716576063912,6.000362957879244,52271586167.0,169.38
2022-01-06,,512822721.3456551,309418533.1200521,,394871281.8571336,0.8355345067001307,5.984417781759736,46897553820.0,151.55
2022-01-07,,512822351.553296,311206972.08010215,,395559881.2924923,0.8218658180613847,5.947518601725789,43282249750.0,138.87
2022-01-08,,513024109.60654026,311342515.55659604,,395559881.1555195,0.8193968483198644,5.914783096202379,45686751395.0,146.95
2022-01-09,,513023557.4800991,311341965.8453282,,395165532.8529716,0.8232134748475284,5.907962658313533,44341308298.0,142.62
2022-01-10,,513023003.9839937,311341414.7813784,,395165530.8167409,0.8238042179319338,5.909254701001114,42236010660.0,135.65
2022-01-11,,513224529.9179705,311642787.9413445,,395165520.7155422,0.8245583443583726,5.902508292194172,43932924946.0,141.1
2022-01-12,,513223908.4216529,311778396.84952044,,393260924.62611234,0.8527114832384441,5.937910422718045,47407197437.0,151.96
2022-01-13,,513223280.7043827,311777771.8022568,,393260924.5576259,0.8554948525157258,5.961721434913267,46625057675.0,149.54
2022-01-14,,513424750.30234927,314011105.25499487,,393260893.5051196,0.8557526386613779,5.953098038512322,46332737905.0,147.84
2022-01-15,,513424108.6526585,314010466.32406586,,394318756.145335,0.8387919821820189,5.924542801095464,46491696101.0,148.06
2022-01-16,,513423505.4112822,314009865.6296391,,394318750.8216598,0.837231388858517,5.912615455793987,46268812369.0,147.57
2022-01-17,,513624899.9740225,314152602.1668184,,393698968.57527024,0.846410121615615,5.908124026198018,43419760557.0,138.3
2022-01-18,,513624358.946757,314152063.4244184,,393698968.522764,0.842669999301382,5.882516236007106,44064380914.0,140.39
