date,inflationrate,feerevenue,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,rewardrate1,marketcap,price
2022-02-03,,,101800816051.20377,69275602099.34377,,20980835404.0,5.143791670717834,7.054658383194838,6063773953.0,0.059592
2022-02-04,,,101799878576.80406,69274664624.94408,,21041116388.0,5.123922335878439,7.034445540026139,6488454387.0,0.06382
2022-02-05,,,101799021993.89607,69273808042.03609,,21042079357.0,5.123591226040802,7.03412448854862,6638063190.0,0.065191
2022-02-06,,,101798022894.67488,69272808942.81488,,21494825119.0,4.978052698572655,6.885959645202609,6690302437.0,0.065755
2022-02-07,,,101796085642.1488,69270871690.2888,,21611965312.0,4.9413596412970495,6.8486360119325465,6982349258.0,0.068647
2022-02-08,,,101794024566.52774,69268810614.66776,,21635790451.0,4.933906168678992,6.841085689638164,6926318541.0,0.06802
2022-02-09,,,101791851007.03674,69266637055.17676,,21625420344.0,4.937088918868304,6.84436701169093,7088118774.0,0.069762
2022-02-10,,,101789716085.731,69264502133.871,,21588264639.0,4.94861974703853,6.856147425113719,7060459949.0,0.069474
2022-02-11,,,101786923186.18814,69261709234.32816,,21621582081.0,4.938190139349019,6.845580585562283,6540426702.0,0.064166
2022-02-12,,,101786385923.58836,69261171971.72836,,21619433071.0,4.938848581509925,6.8462610636870185,6433835196.0,0.06323
2022-02-13,,,101786385923.58836,69261171971.72836,,21619433071.0,4.938848581509925,6.8462610636870185,6555897277.0,0.064419
2022-02-14,,,101786385923.58836,69261171971.72836,,21619433071.0,4.938848581509925,6.8462610636870185,6574701474.0,0.064669
2022-02-15,,,101786385923.58836,69261171971.72836,,21619433071.0,4.938848581509925,6.8462610636870185,6751551747.0,0.06634
2022-02-16,,,101786385923.58836,69261171971.72836,,21619433071.0,4.938848581509925,6.8462610636870185,6761878209.0,0.066442
2022-02-17,,,101775346566.8182,69250132614.9582,,21666439965.0,4.924056007710487,6.831406477705839,6390836429.0,0.062799
2022-02-18,,,101773367883.50508,69248153931.64508,,21663196555.0,4.92502408878297,6.832429240089004,6432289096.0,0.06301
2022-02-19,,,101771522962.25166,69246309010.39168,,21676807390.0,4.920776587865494,6.828139101113383,6432834341.0,0.063183
2022-02-20,,,101769663002.692,69244449050.832,,22122130752.0,4.7857412741668215,6.690683784931196,6328433355.0,0.062182
2022-02-21,,,101767208987.47882,69241995035.61884,,22097576748.0,4.792997874702731,6.698118245132031,6169191730.0,0.060844
2022-02-22,,,101763742179.96518,69238528228.1052,,22095564881.0,4.793533153893725,6.698728158096339,6370991040.0,0.062665
2022-02-23,,,101760221217.9524,69235007266.0924,,22115097393.0,4.7876574983566345,6.6928115975617954,6303838470.0,0.061932
2022-02-24,,,101757197681.40454,69231983729.54456,,22126859099.0,4.7841085034462605,6.6892546844388265,6186365424.0,0.06083
2022-02-25,,,101752460849.567,69227246897.707,,22159880124.0,4.774231351838321,6.67928663105331,5936448742.0,0.058347
2022-02-26,,,101747779881.69342,69222565929.83344,,22155908480.0,4.775321975158908,6.680484728737516,6063957607.0,0.059619
2022-02-27,,,101744624448.78018,69219410496.9202,,22142866905.0,4.779128422888768,6.684419477768043,5923470261.0,0.058241
2022-02-28,,,101740576241.53648,69215362289.67648,,22117259030.0,4.786656544688506,6.69216030606663,6138523232.0,0.060288
2022-03-01,,,101737290270.5679,69212076318.70792,,22054822450.0,4.805198786399911,6.711101287058785,6272443927.0,0.061685
2022-03-02,,,101734245153.34483,69209031201.48485,,22056954327.0,4.8045058050044,6.710452750903972,6303287512.0,0.061815
2022-03-03,,,101731570393.90794,69206356442.04796,,22041818250.0,4.808981395429535,6.715059847144686,6076639224.0,0.05972
2022-03-04,,,101729340861.9606,69204126910.1006,,22044321400.0,4.808191108372539,6.7142969616554025,5919528509.0,0.058123
2022-03-05,,,101727509311.33649,69202295359.47649,,22053753609.0,4.805336915370262,6.711425178059659,6134373269.0,0.060295
2022-03-06,,,101725835552.00758,69200621600.1476,,22061412722.0,4.80301661760989,6.709094042563583,6088648729.0,0.059847
2022-03-07,,,101723760865.96458,69198546914.1046,,22600108266.0,4.645919456399472,6.549178534602633,5965005573.0,0.058724
2022-03-08,,,101721934634.14244,69196720682.28244,,22602875562.0,4.645099638677608,6.548377975634531,6135840471.0,0.060286
