date,ETH,BNB,ADA,SUI,TRX,SOL,AVAX,NEAR,TIA,DOT,ATOM
2022-04-09,5.056413814666618,7.510733678215543,4.993466371275762,,4.935110468278951,6.053302931739029,9.02889354625806,10.223596988880647,,14.038084987196644,14.559568904325324
2022-04-10,4.16556316944671,7.495522805908286,4.992449846033181,,4.938866532593862,6.06987731099349,9.013209509803126,9.963790446789483,,14.040787456894307,14.574624731160474
2022-04-11,5.03788722468913,7.478123790406865,4.989768850020273,,4.935712761579482,6.082612733641116,9.012115077580244,9.960690382598717,,14.043962738042584,14.590045532990526
2022-04-12,5.034721581145008,7.485671383360717,4.991635215269909,,4.937455955610564,6.087671922486985,9.014608813214949,9.953839841468415,,14.050105335830851,14.759198307601256
2022-04-13,5.020824085672053,7.484242724097211,4.99143904462189,,4.9390385905332765,6.079095882238474,9.0086466332842,9.962233866587384,,14.057450323805584,14.85625576920742
2022-04-14,5.015992929951229,7.476425335632153,4.991207067125573,,4.945500896017516,6.057309593877932,9.007158321415565,9.9723690213481,,14.050966803943949,15.392422697938034
2022-04-15,4.129430010924603,7.408288959004093,4.991743570939137,,4.9331740463781175,6.053130444948079,9.017365251621596,9.975418495540064,,13.9662259180478,15.381467177548256
2022-04-16,4.123105037934574,7.384071314978483,4.98896271866258,,4.932919059016299,6.012480272982977,9.015875936683882,9.97006514341538,,13.967207413272408,15.375125824809263
2022-04-17,4.137910398643731,7.334020886952048,4.988134926120802,,4.936264884721251,6.000665638937773,8.997998505240057,9.963513728696784,,13.971963993254406,15.439598183454429
2022-04-18,4.981593764103774,7.299733699645785,4.987912555956367,,4.87849194149198,5.973101762092417,8.995825361749569,9.97635168618309,,13.967950666900878,15.433515733562302
2022-04-19,4.975925557630108,7.268112719890133,4.98791255595636,,4.876683236736984,5.945490423694452,8.98553558348651,10.031574418760169,,13.982926260767126,15.453027788575795
2022-04-20,4.965327459276784,7.255619910144152,4.98791255595636,,4.875414939488105,5.8900633570230925,9.028035496681204,9.97398918306923,,13.969062684128462,15.490386817667606
2022-04-21,4.956819972183932,7.224457766803844,4.987912555957093,,5.19569476954196,5.879948968891982,9.026839962520492,9.98030813620142,,13.971134447962044,15.544078231973788
2022-04-22,4.9564250106282985,7.187593749464692,4.987912555957093,,5.192995161332891,5.870567421275643,9.020384667033568,9.99655698452277,,13.972065248539964,15.602451791101885
2022-04-23,4.942905348151519,7.154781289155066,4.987912555957093,,4.8669311943456535,5.843329417264549,9.018255197590197,9.99229051942588,,13.985451396472136,15.629965577151497
2022-04-24,4.070318400986786,7.166572336736096,4.987912555954992,,4.859297507505251,5.812369156780329,9.0183203914449,10.039637815310478,,13.987331995939556,15.643361107673678
2022-04-25,4.0643689732596,7.155531010535535,4.987912555952423,,4.818051450099304,5.786302490746886,9.0179537851611,10.00510867375652,,13.986239550855784,15.660695830325658
2022-04-26,4.057763136854821,7.18000654056903,4.987912555947588,,4.818615294808463,5.736740441074988,9.01923518421507,10.07901440198081,,13.97046407798824,15.682038278407632
2022-04-27,4.914743238897176,7.207357417083308,4.9879125559519215,,4.828554848063643,5.6963757518690965,9.01959627894372,9.953475070164414,,13.968189508299764,15.714060426973994
2022-04-28,4.905924342460094,7.174386022328876,4.9879125559565445,,4.830913294315738,5.666909520115223,9.012969028667756,9.945637535585288,,13.96926202740759,15.767398456512014
2022-04-29,4.895073707837716,7.174918608663697,4.98791255595155,,4.832550471564671,5.565523791921002,9.012268426762992,9.976381564590204,,13.966653755588847,15.796408986110722
2022-04-30,4.966284679249358,7.186435932774912,4.987912555955834,,4.832532275746526,5.52918140091151,9.010960297383289,9.977627891594857,,13.983038959585642,15.808140053295569
2022-05-01,4.883208165960297,7.143822007200405,4.987912555957289,,4.816743940718796,5.505906995653317,9.010475378043846,9.991527445362866,,13.969990095338996,15.83766926797471
2022-05-02,4.878938004538201,7.093290839927828,4.987912555955834,,4.821360829220692,5.425030693433757,9.010090865037268,10.002029739176198,,13.977689078286184,15.86539131060181
2022-05-03,4.040775113443744,7.069763626504481,4.987912555956124,,4.818001467980641,5.423695041167405,9.00927825977213,9.848423153573956,,13.961792737514305,16.117725490194154
2022-05-04,4.011557569977351,7.025293251628881,4.987912555956124,,4.819361302328233,5.409006151383798,8.999817382299417,9.934424258316657,,13.962078762659186,16.140557973367258
