date,inflationrate,totalsupply,circulatingsupply,stakedtokens,realrewardrate,rewardrate1,marketcap,price
2022-01-01,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,43641923978.0,1.36
2022-01-02,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,43906518622.0,1.37
2022-01-03,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,42536938743.0,1.33
2022-01-04,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,42361773517.0,1.32
2022-01-05,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,42222103708.0,1.32
2022-01-06,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,40898107302.0,1.27
2022-01-07,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,39147730928.0,1.22
2022-01-08,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,38509529683.0,1.2
2022-01-09,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,38034934636.0,1.19
2022-01-10,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,36483560257.0,1.14
2022-01-11,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,38093244222.0,1.19
2022-01-12,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,41597733095.0,1.3
2022-01-13,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,40191490876.0,1.25
2022-01-14,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,41234956604.0,1.29
2022-01-15,4.211046822364848,33865878493.803734,33443068671.658413,23707347114.028824,1.383855580686033,5.653177209507463,41923267864.0,1.31
2022-01-16,3.879197701232368,33988299055.00452,33526690003.19809,23541185403.67211,1.3239341539106777,5.254489878407368,45039987649.0,1.41
2022-01-17,3.863364490352677,33988299055.00452,33526623747.75289,23541965323.43996,1.3186993130885671,5.233009964437626,48913803746.0,1.53
2022-01-18,3.848387398725946,33988299055.00452,33526554255.48601,23533397322.374943,1.3155266782423736,5.214540639880662,47226636368.0,1.48
2022-01-19,3.825680817077512,33988299055.00452,33526477717.72786,23559625794.080536,1.302727332421072,5.1782463391538265,42836053186.0,1.34
2022-01-20,3.796930245616639,33988299055.00452,33526395713.349743,23574398133.27562,1.2895560471854584,5.135449836391868,41678908924.0,1.29
2022-01-21,3.767813481889467,34007996390.184013,33539949668.57085,23590279720.488075,1.2770004717349348,5.09292894956221,36189205650.0,1.14
2022-01-22,3.750700045977765,34007996390.184013,33539896113.631657,23567115140.072563,1.2739675355787128,5.072450282499186,34940327526.0,1.09
2022-01-23,3.7493347721004393,34007996390.184013,33539832739.891552,23549821560.68688,1.2769895181630853,5.074202902304103,34412941030.0,1.07
2022-01-24,3.7395783829582574,34007996390.184013,33539771369.58218,23540097956.66057,1.2757596379552094,5.063046052552954,34510684245.0,1.08
2022-01-25,3.7319205111479214,34007996390.184013,33539703745.972363,23555317591.7213,1.2696299901427954,5.0489320833085545,33138312110.0,1.03
2022-01-26,3.7222598217483247,34027415098.89299,33553118209.09949,23557937363.91836,1.2672979270938578,5.036729870404237,36173565260.0,1.11
2022-01-27,3.7228929292682857,34027415098.89299,33553065296.960884,23548198255.36047,1.2696800975456224,5.0398418573897406,33200443542.0,1.03
2022-01-28,3.7215763229467314,34027415098.89299,33553011306.70266,23534119018.742268,1.272498687327106,5.041432020131216,33674452632.0,1.05
2022-01-29,3.722795404591197,34027415098.89299,33552954347.651627,23532989631.396248,1.2732920729931152,5.043489536364724,34124993145.0,1.06
2022-01-30,3.7227816403960734,34027415098.89299,33552895708.2606,23540614194.50397,1.2720168943610275,5.042152946163131,33330912288.0,1.04
2022-01-31,3.712062205843624,34046772161.177,33566265945.25132,23543061313.396152,1.2646943615079786,5.023702808764555,33690178510.0,1.05
2022-02-01,3.713489347473351,34046772161.177,33566217341.75225,23551016048.423466,1.2635549846280458,5.023966311855014,34727856275.0,1.08
2022-02-02,3.712623694528943,34046772161.177,33566169245.31269,23545754991.843925,1.2638087209945414,5.023352877552647,33230814189.0,1.04
2022-02-03,3.712842269398206,34046772161.177,33566117393.244617,23532676468.56714,1.2656116936818895,5.025444129009552,33934338233.0,1.06
2022-02-04,3.708527742881639,34046772161.177,33566062860.04438,23535738910.755085,1.2640255061686867,5.0194299856237,35576357269.0,1.11
2022-02-05,3.7006933386322793,34066349127.63857,33579564080.509453,23539646700.515755,1.2641240247953434,5.011598717005262,36229374551.0,1.13
2022-02-06,3.70040138273296,34066349127.63857,33579512093.74712,23538162326.140503,1.2641106586036566,5.011289209626852,36265376324.0,1.13
2022-02-07,3.7043209520629423,34066349127.63857,33579459843.118893,23534056935.898243,1.2615203833968192,5.012572099336485,38151924906.0,1.19
2022-02-08,3.706463913245513,34066349127.63857,33579406940.53137,23529660761.46443,1.2633614565700224,5.016651406297168,37640709065.0,1.18
2022-02-09,3.709491880528765,34085668605.164387,33579347062.9553,23521770742.986088,1.2682471724692943,5.024784578885843,38695048353.0,1.21
2022-02-10,3.702146389380413,34085668605.164387,33592648629.70717,23516298152.632347,1.272657153274448,5.021919173504006,37320267294.0,1.17
2022-02-11,3.7027604499364384,34085668605.164387,33592596032.54608,23503859922.4623,1.2760989199806838,5.0261102560282485,35088499914.0,1.092
2022-02-12,3.704184105613431,34085668605.164387,33592544845.98517,23496989399.84754,1.2756215439472918,5.0270570200394085,33808561025.0,1.055
2022-02-13,3.703916343352323,34085668605.164387,33592496353.01,23484705011.837223,1.278281508067125,5.029544329110792,33514378775.0,1.045
2022-02-14,3.707726260841405,34085668605.164387,33592444518.45732,23486455863.38806,1.2794017264821989,5.034564701118059,33454978146.0,1.046
2022-02-15,3.804388442311821,34105094650.08682,33613440750.96928,23481588211.679348,1.3143579744105516,5.168749699591449,35034374568.0,1.093
2022-02-16,3.871739743851376,34105094650.08682,33621004805.927635,23480668697.70941,1.3385332871003186,5.262097556213022,34780457230.0,1.086
2022-02-17,3.897708383702196,34105094650.08682,33613333781.496647,23476082857.683044,1.3471308336977297,5.297346448844417,32923437940.0,1.026
2022-02-18,3.916141982219608,34105094650.08682,33613283994.40583,23460564641.595093,1.3565314164511788,5.32579709497242,32111314873.0,0.9968
2022-02-19,3.910495931692272,34105094650.08682,33613234108.61737,23455730669.536232,1.3556943726342752,5.3192046776146045,31721977399.0,0.989074
2022-02-20,3.905755120787026,34124387217.28521,33626519255.19327,23447757384.047848,1.3580021354257843,5.316797494157609,30121534465.0,0.940756
2022-02-21,3.909250155641265,34124387217.28521,33626469108.925964,23443403032.5242,1.3605522114009894,5.322989756484036,28491669944.0,0.892751
2022-02-22,3.902020281723109,34124387217.28521,33634036153.57987,23397959860.11404,1.3691889392716927,5.324635251100302,28210009520.0,0.88103
2022-02-23,3.9025052103350055,34124387217.28521,33633989620.25158,23374318296.14678,1.3741137216998434,5.330243791620116,28602774540.0,0.891945
2022-02-24,3.8996199435658414,34124387217.28521,33626321607.06638,23340827759.400738,1.3793464505665431,5.3327556634095625,27701392586.0,0.863933
2022-02-25,3.898923708817105,34143444450.36653,33648208414.623936,23322276085.50508,1.381930234125206,5.33473434847994,28246033831.0,0.880569
2022-02-26,3.897792925987776,34143444450.36653,33648161253.89845,23317394099.92911,1.3826668559770772,5.33435327286712,28950575731.0,0.903966
2022-02-27,3.896106042278144,34143444450.36653,33648111999.622143,23310144174.279488,1.3838777690677428,5.333901156724267,27319253666.0,0.851991
2022-02-28,3.897043746271013,34143444450.36653,33648066624.17844,23312004451.886784,1.3839027121714589,5.334877752541635,30019273973.0,0.936431
2022-03-01,3.891104487706328,34143444450.36653,33648019790.145947,23402645633.317715,1.3623258851833908,5.306439896545273,30727570473.0,0.958435
2022-03-02,3.82612789259645,34162713384.25524,33661277914.138004,23398719160.706383,1.3432661675276236,5.220789141631643,30448472099.0,0.946831
2022-03-03,3.85626934977263,34162713384.25524,33661236321.84182,23203259133.801388,1.396323470515992,5.306438814305819,28935886325.0,0.902297
2022-03-04,3.8513871338701215,34162713384.25524,33661190159.71033,23202416435.298286,1.3949197851995665,5.30003068020468,27049992925.0,0.842799
2022-03-05,3.852030901856239,34162713384.25524,33661148834.67433,23226259490.787304,1.3899191990614843,5.295490217976428,27737625148.0,0.864002
2022-03-06,3.847653406058664,34162713384.25524,33661102531.71204,23211240530.07904,1.3911067982736558,5.292285172438012,27085412918.0,0.845196
2022-03-07,3.848527073469738,34182105422.48587,33674428120.340343,23252615152.44548,1.383779657749051,5.285561865984443,25719316714.0,0.80387
2022-03-08,3.8504054766018014,34182105422.48587,33674385316.4922,23318320347.570374,1.3677289696116812,5.270797557364483,25474458102.0,0.794399
2022-03-09,3.8479026340324873,34182105422.48587,33674344065.173126,23317466013.61019,1.3622127862731537,5.262532041989791,27078876285.0,0.845044
2022-03-10,3.8423390388876433,34182105422.48587,33674302864.70277,23259639988.534176,1.3718098909951904,5.266858516863867,25878926109.0,0.807547
2022-03-11,3.8465677351452143,34182105422.48587,33674267642.92205,23237974795.82276,1.3778840186024155,5.2774529958349286,25504002498.0,0.794911
2022-03-12,3.83733191217258,34201243285.46057,33687414799.076057,23226826822.663746,1.378742973123659,5.268981829390728,25506322197.0,0.795757
2022-03-13,3.846391312781869,34201243285.46057,33687374405.154263,23214800577.251728,1.3845059859141309,5.284150816663135,25770592253.0,0.803429
2022-03-14,3.8437095256360654,34201243285.46057,33687323707.307644,23202752330.17107,1.385841102842056,5.282818334958253,25458540704.0,0.796378
2022-03-15,3.846904957521194,34201243285.46057,33687273889.705696,23195877129.162422,1.386113213372986,5.286340628816289,25796303066.0,0.806952
2022-03-16,3.845303960732513,34201243285.46057,33687225806.23954,23194678933.922623,1.3922871395505965,5.291128772804992,26331888060.0,0.829005
2022-03-17,3.835286788792703,34220542616.811584,33700476103.02036,23188715982.52844,1.3900054354903937,5.27860291911396,26901053918.0,0.838734
2022-03-18,3.836368378722515,34220542616.811584,33700426871.39136,23191205863.67655,1.389186052841418,5.278848726016762,27332133777.0,0.853018
2022-03-19,3.835110747592365,34220542616.811584,33700379722.557045,23191041261.024902,1.3887513066930035,5.277122204905692,28920789513.0,0.898425
2022-03-20,3.8334855953380447,34220542616.811584,33700332154.56538,23181166898.762344,1.390482408353555,5.277271946521534,28243144172.0,0.880661
2022-03-21,3.84035495093277,34220542616.811584,33700275638.23368,23234801038.275314,1.381174337683455,5.27457128567448,29084402573.0,0.906321
2022-03-22,3.8804209523731705,34239675266.8954,33713394829.86516,24514105213.56394,1.1308988813002685,5.055203470813558,31393018763.0,0.97855
2022-03-23,3.891096138993488,34239675266.8954,33713350185.46306,24540272304.572056,1.1283694067125705,5.063371484124224,34267954221.0,1.068
