date,inflationrate,feerevenue,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,rewardrate1,marketcap,price
2022-01-01,8.415556884242513,,285180901.231713,285180901.231713,,168722589.041416,4.702215663240057,13.11777254748257,10352915613.0,36.26
2022-01-02,8.447168421178958,,285247282.552404,285247282.552404,,169097291.172943,4.693550294304508,13.140718715483466,10011034403.0,35.08
2022-01-03,8.478292066015568,,285313892.136259,285313892.136259,,169337539.730639,4.694980585647514,13.173272651663082,10895188821.0,38.58
2022-01-04,8.50915738879836,,285380390.827274,285380390.827274,,169469783.045997,4.704569903026096,13.213727291824457,12275004299.0,42.25
2022-01-05,8.541064131350621,,285448438.121151,285448438.121151,,169285896.663118,4.739555727122873,13.280619858473496,11014987541.0,38.59
2022-01-06,8.572298815002782,,285515521.27648,285515521.27648,,169350093.581644,4.732981609424535,13.305280424427316,11303979160.0,39.51
2022-01-07,8.603598225473194,,285582467.526551,285582467.526551,,168509245.541276,4.819798551567912,13.423396777041106,11510366334.0,40.3
2022-01-08,8.637025262069011,,285651002.632885,285651002.632885,,168053948.96294,4.878060725689471,13.515085987758482,10481392282.0,36.82
2022-01-09,8.670040521800981,,285720281.291596,285720281.291596,,168958054.646858,4.827183880767066,13.497224402568047,10192220301.0,35.67
2022-01-10,8.703671155049351,,285789645.021381,285789645.021381,,168271057.682186,4.904319873746559,13.60799102879591,10674260462.0,37.41
2022-01-11,8.736156293809326,,285857900.729263,285857900.729263,,168746503.279766,4.887170854583024,13.62332714839235,11174645324.0,39.19
2022-01-12,8.768109623775999,,285926391.022813,285926391.022813,,169220130.307062,4.869847970830247,13.637957594606243,11827473749.0,41.34
2022-01-13,8.799802728580541,,285995958.649278,285995958.649278,,169613873.257192,4.858796702863174,13.658599431443715,11185764535.0,39.07
2022-01-14,8.829252838638338,,286061277.979594,286061277.979594,,165887089.09441,5.17259803921101,14.001850877849348,11270511370.0,39.37
2022-01-15,8.86657704124757,,286132411.209321,286132411.209321,,165861527.723523,5.199928454083564,14.066505495331134,11436729760.0,39.97
2022-01-16,8.901105961992487,,286202527.098323,286202527.098323,,169688791.809045,4.641639074853551,13.542745036846036,12161054415.0,42.58
2022-01-17,8.924969791144079,,286273390.34514,286273390.34514,,177910254.596045,4.217113841508988,13.142083632653067,11111811855.0,38.81
2022-01-18,8.94484903124123,,286344339.321466,286344339.321466,,178127636.811484,4.212497000528453,13.157346031769682,11111271021.0,38.89
2022-01-19,8.964136821683324,,286414536.14722,286414536.14722,,178267262.649582,4.214309201547906,13.17844602323123,10473869554.0,36.62
2022-01-20,8.983830348705602,,286486042.963017,286486042.963017,,178197675.711269,4.230810526223607,13.21464087492921,11180673636.0,38.98
2022-01-21,9.003546997508115,,286557676.096706,286557676.096706,,178199812.608286,4.24307690286985,13.246623900377966,9611108838.0,33.61
2022-01-22,9.022892696115449,,286628770.539112,286628770.539112,,178468982.620834,4.22736032131378,13.250253017429229,8531079215.0,29.72
2022-01-23,9.04145392220242,,286698524.618939,286698524.618939,,178315592.951693,4.2495274886398136,13.290981410842234,9415658368.0,32.85
2022-01-24,9.06076157470806,,286769300.484778,286769300.484778,,178214434.077962,4.269318171754,13.33007974646206,10178678910.0,35.59
2022-01-25,9.080110908524968,,286840707.882792,286840707.882792,,178479587.823071,4.261773145307247,13.341884053832215,10235220103.0,35.66
2022-01-26,9.099088221787396,,286911354.51508,286911354.51508,,178474172.478757,4.270333434561929,13.369421656349326,9781649607.0,33.47
2022-01-27,9.117944273410384,,286981715.579253,286981715.579253,,178314256.275882,4.2943611484382185,13.412305421848602,8408216093.0,29.23
2022-01-28,9.13634208459175,,287050502.179219,287050502.179219,,178198873.750973,4.314820489425584,13.451162574017332,8464586046.0,29.51
2022-01-29,9.153980600381823,,287118583.611466,287118583.611466,,178678456.150782,4.290029750801343,13.444010351183168,8318740867.0,28.95
2022-01-30,9.172725682318536,,287189502.676251,287189502.676251,,178668978.193868,4.303788591269074,13.47651427358761,7734455491.0,26.85
2022-01-31,9.19123328382902,,287260507.411513,287260507.411513,,178989734.683896,4.282095496223008,13.473328780052029,8120746717.0,28.25
2022-02-01,9.208249269650562,,287330225.741058,287330225.741058,,179618749.416585,4.245870968895012,13.454120238545574,8417945701.0,29.27
2022-02-02,9.224466557754427,,287400280.695872,287400280.695872,,180586334.369108,4.190401298564952,13.41486785631938,7639529352.0,26.5
2022-02-03,9.240008576351526,,287470273.700391,287470273.700391,,181067321.368407,4.168820693302001,13.408829269653529,8509136218.0,29.78
2022-02-04,9.25531332821668,,287541055.162506,287541055.162506,,181191410.122335,4.169692007072367,13.425005335289049,8830913517.0,30.74
2022-02-05,9.270315764128926,,287611307.495863,287611307.495863,,181235132.02631,4.176361158632021,13.446676922760949,8906908215.0,30.94
2022-02-06,9.285749243501972,,287682676.551301,287682676.551301,,181228558.588413,4.185964136981314,13.471713380483283,8787413647.0,30.56
2022-02-07,9.30033647024248,,287752382.795143,287752382.795143,,181525158.505156,4.17362675369646,13.47396322393894,9103584709.0,31.7
2022-02-08,9.31368697338876,,287818155.947907,287818155.947907,,182155255.959794,4.1359035176493215,13.449590491038082,8774815196.0,30.51
2022-02-09,9.329192008841313,,287896747.253921,287896747.253921,,182627537.101317,4.111495718048055,13.440687726889369,8877209257.0,30.88
2022-02-10,9.342267602264306,,287966945.834522,287966945.834522,,182853692.079697,4.097167178479298,13.439434780743603,8493377278.0,29.5
2022-02-11,9.355866873432277,,288038939.618354,288038939.618354,,182984769.534095,4.096744229492764,13.452611102925038,7941371852.0,27.52
2022-02-12,9.3695795915523,,288112362.2145,288112362.2145,,183148658.250653,4.094020121716085,13.463599713268383,7790619876.0,27.07
2022-02-13,9.382309419742164,,288183502.753249,288183502.753249,,183216150.806214,4.097840720385348,13.480150140127511,7632297389.0,26.49
2022-02-14,9.395173685626458,,288255629.991639,288255629.991639,,183706522.229654,4.070695755427812,13.46586944105427,7790526980.0,27.11
2022-02-15,9.407943636228724,,288329005.566948,288329005.566948,,183806419.613397,4.072222944101059,13.48016658032978,8254213154.0,28.65
2022-02-16,9.41945493965415,,288399462.439547,288399462.439547,,184072365.261872,4.065102248537116,13.484557188191266,8226868385.0,28.58
2022-02-17,9.430876540934708,,288470770.668688,288470770.668688,,184461893.937125,4.045798325771054,13.476674866705762,8238956296.0,28.59
2022-02-18,9.442613074614368,,288543383.845634,288543383.845634,,184426190.007692,4.057789903976371,13.500402978590738,7798874463.0,26.88
