date,inflationrate,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,rewardrate1,marketcap,price
2022-01-13,5.81579235064864,396492791.22458565,76937055.0,,236362594.1487586,3.2904731335337445,9.297632568982603,22479826832.0,91.99
2022-01-14,5.821535616432206,396494189.9446596,76937055.0,,236602274.8263801,3.2854820682014063,9.298283193405464,22102559330.0,90.45
2022-01-15,5.836660270617084,396496333.50783175,76937055.0,,237227671.0319975,3.267084607299076,9.294433507197828,22750035925.0,93.1
2022-01-16,5.8381681491348045,396495117.8561413,76937055.0,,237291947.19230267,3.264645685452105,9.293409339177094,22686260987.0,92.88
2022-01-17,5.822762007492973,396490079.59675056,76937055.0,,236667195.5190521,3.279949694463591,9.293695366630685,21043381636.0,86.09
2022-01-18,5.84205463620298,396491529.40869486,76937055.0,,237459708.7894613,3.257642304047037,9.290010183504512,21036464343.0,86.17
2022-01-19,5.845480700788259,396487466.89752746,76937055.0,,237599352.37651703,3.2536869049288875,9.289361245808848,20345231075.0,83.38
2022-01-20,5.845563995114451,396488569.20939296,76937055.0,,237609324.43293363,3.255086275551222,9.290928421999189,19932524326.0,81.57
2022-01-21,5.840725367376778,396497894.1548488,76937055.0,,237439457.171418,3.261882935469651,9.293125926912532,16179171179.0,66.46
2022-01-22,5.8449672322884725,396492943.1298602,76937055.0,,237612826.1591268,3.256810245369901,9.292136969318046,14754634370.0,60.28
2022-01-23,5.824304433849039,396973621.6043544,76937055.0,,237705309.12209463,3.2512701928771426,9.264938500726332,15087622449.0,61.68
2022-01-24,5.826047048961722,396979685.5782655,76937055.0,,237793789.80136856,3.250957770791607,9.266407149021514,15335319172.0,62.71
2022-01-25,5.837308165052507,396980780.2901066,76937055.0,,238260329.09994903,3.2408564029282605,9.267343343406507,16523101980.0,67.39
2022-01-26,5.836096519329846,396985094.5351408,76937055.0,,238229925.68475223,3.241974820705873,9.267276119704478,17125763898.0,68.49
2022-01-27,5.832251289169726,396991250.25931096,76937055.0,,238093455.5194421,3.2451730905793674,9.266691029160198,15321217870.0,62.49
2022-01-28,5.833618290935785,397001860.3039337,76937055.0,,238176232.6798976,3.244322145109701,9.26720180611949,16372941648.0,67.03
2022-01-29,5.834311128904844,397000826.1489739,76937055.0,,238209036.3424148,3.246212769714729,9.269918051510968,17664847467.0,72.07
2022-01-30,5.83098487655431,397040923.3128438,76937055.0,,238156782.16640863,3.249798233690804,9.270278353770156,16649463196.0,67.83
2022-01-31,5.830423211575117,397135039.4221914,76937055.0,,238332153.8822856,3.243306144060454,9.262827829881315,17069378542.0,69.7
2022-02-01,5.865647013960885,397150586.5832144,76937055.0,,239809072.71441573,3.2067361463016697,9.260478983273703,17767636379.0,72.45
2022-02-02,5.848615115726987,397154880.5899902,76937055.0,,239127654.04574007,3.220885093616888,9.257877381789331,16880551893.0,68.84
2022-02-03,5.912662098296831,397177779.3337025,76937055.0,,241797759.49870607,3.1575410372019386,9.256897867643596,16769912822.0,68.55
2022-02-04,5.930576193207989,397187741.4387585,76937055.0,,242557706.96569407,3.1404728179804886,9.25729714448579,18595524980.0,75.93
