date,inflationrate,feerevenue,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,rewardrate1,marketcap,price
2022-07-05,7.667724442392782,,1209701814.6169553,1128752682.95086,,625140563.540294,6.0305528523726615,14.160683469838231,7778291210.0,6.91
2022-07-06,7.6666598960965295,,1210036803.8144956,1129087670.9259,,625184862.7069178,6.033449939169899,14.162673922103838,7820893823.0,6.97
2022-07-07,7.661334018731539,,1210046700.0552702,1129097568.56977,,624545519.7249104,6.043121665139406,14.167439419795624,8209016665.0,7.27
2022-07-08,7.664362536931041,,1210375542.6470215,1129426410.89582,,625081810.8063856,6.035046008062306,14.16195635032183,8021919139.0,7.11
2022-07-09,7.686327522372707,,1210705824.515164,1129756692.55076,,627911693.9179937,5.995250234503802,14.142392325686288,8239379877.0,7.3
2022-07-10,7.686561450477226,,1211030639.4240825,1130081506.54458,,628108482.9783732,5.994827323189056,14.142184859713222,7728056019.0,6.84
2022-07-11,7.686787721096181,,1211380671.4694777,1130429985.71247,,628317439.2351133,5.993397178486815,14.140884617975455,7523416753.0,6.66
2022-07-12,7.661924270015239,,1211695315.05064,1130746182.16074,,625467945.462366,6.036778197688175,14.161235841559083,7213332596.0,6.38
2022-07-13,7.678434019048636,,1212028345.1280746,1131079212.75737,,627640881.4462442,6.006523334054559,14.14616428414734,7201676013.0,6.36
2022-07-14,7.675217130413856,,1212355866.3867075,1131406735.05781,,627420484.7882221,6.009329608450464,14.145775834395131,7543116785.0,6.67
2022-07-15,7.673037509932157,,1212842894.54017,1131893763.09527,,627408178.711099,6.013127304771682,14.147554328318945,7768602717.0,6.88
2022-07-16,7.676533684354833,,1213021053.9930155,1132071922.12222,,627924434.5826448,6.0067938806069865,14.144441120556367,7637722066.0,6.75
2022-07-17,7.6781634605564895,,1213506439.3337889,1132557307.33809,,628373470.3308235,6.001663442231831,14.140644432235344,7942024251.0,7.01
2022-07-18,7.678570683744384,,1213692065.286028,1132742932.39953,,628519014.8383399,5.998895405413007,14.13809551310592,8340994736.0,7.36
2022-07-19,7.682265005710446,,1214015365.9729044,1133066235.11412,,629134934.7476143,5.99221149189233,14.134814064112597,8970131923.0,7.93
2022-07-20,7.679276371515042,,1214340655.119747,1133391523.67715,,628940586.2031803,5.9973987615976165,14.137231959117557,8609313041.0,7.59
2022-07-21,7.678680866142695,,1214673984.652321,1133724853.25864,,629040892.2920282,5.999307291883249,14.138655819148887,8550705298.0,7.5
2022-07-22,7.684575257342968,,1215166873.6105385,1134217740.71594,,630012410.6464006,5.985170704998577,14.129680909447604,8321832588.0,7.35
2022-07-23,7.688500220756686,,1215340653.728874,1134390447.8324,,630579525.0166837,5.978413913157654,14.12656450082521,8120920355.0,7.16
2022-07-24,7.688471594523893,,1215347359.0993946,1134398226.19939,,630579525.0166837,5.978465618529527,14.12658984392243,8510959918.0,7.49
2022-07-25,7.689358445784094,,1215692671.708208,1134743538.82235,,630866503.340682,5.976262171559488,14.12515683737459,7987960044.0,7.07
2022-07-26,7.695636307252974,,1216338917.288561,1135389328.17754,,631965464.058922,5.964661474214861,14.119316435482244,7538667914.0,6.68
2022-07-27,7.693834814244516,,1216693790.642027,1135744657.75892,,631930656.8111687,5.966978848225324,14.119903158453212,8288678014.0,7.31
2022-07-28,7.702279434996528,,1217009793.9677851,1136060662.82629,,633122502.334797,5.9511541442189175,14.111808101010562,8988603285.0,7.9
2022-07-29,7.698569654771392,,1217355021.1220205,1136405888.22202,,632850487.1888522,5.956636065254806,14.113781496591054,9329275724.0,8.21
2022-07-30,7.699839113162679,,1217676238.694148,1136727107.35135,,633172053.3130647,5.955025555316773,14.113392055386564,9511773334.0,8.28
2022-07-31,7.7004920017385405,,1217675978.4022837,1136726845.51333,,633251418.6390226,4.536339393441469,14.113396065090178,10201189227.0,8.98
2022-08-01,7.70077718041908,,1217897909.2760532,1136948777.31738,,633401565.4643005,4.53585455494756,14.113396065090178,9285867541.0,8.15
2022-08-02,7.703002587454558,,1218111098.5343618,1137161286.96064,,633783519.7481399,4.532071963446427,14.062728679768432,9107909874.0,8.01
2022-08-03,7.697838110739855,,1218318045.9137962,1137368914.97979,,633261997.0052837,4.540852549270591,14.062728679768432,9492972770.0,8.29
2022-08-04,7.702238374005485,,1218531758.551594,1137582626.57242,,633909267.4281487,4.533370745976195,14.062728679768432,9119000772.0,8.02
2022-08-05,7.697872823496679,,1219494038.5645192,1138544906.69851,,633877492.1470724,4.54079350322274,14.062728679768432,9848750460.0,8.65
2022-08-06,7.68675207501226,,1219716026.6895273,1138766893.79376,,632636463.2357613,4.559729091698972,14.062728679768432,9804138169.0,8.62
2022-08-07,7.684979786193089,,1220047104.8250363,1139097971.93127,,632591957.6721214,4.56275040111267,14.062728679768432,10022505984.0,8.81
2022-08-08,7.685294640887988,,1220380114.277752,1139430983.6947,,632803046.6410698,5.927241881269096,14.06806252481071,10531239394.0,9.23
2022-08-09,7.683415578512232,,1220713341.7739575,1139764208.88019,,632746455.2648858,5.932033489574895,14.07123185334772,10181338350.280869,8.92
2022-08-10,7.694111782673982,,1221055690.510716,1140106557.69212,,634229974.9382826,5.912172177742225,14.061173096555862,10910785409.605576,9.6
2022-08-11,7.688339783305656,,1221383949.7838738,1140434816.8957,,633695493.735467,5.9215184289999945,14.06512466945824,10566954259.687336,9.26
2022-08-12,7.691160354212401,,1221714761.0268192,1140765628.13108,,634211723.15985,5.915982409420062,14.062150457267949,10665060711.45432,9.37
2022-08-13,7.701419290110737,,1222043514.0300386,1141094381.14284,,635636070.7230552,5.80892680553553,13.957715905196215,10725842716.47857,9.4
2022-08-14,7.702087021295697,,1222387224.3737783,1141438091.47378,,635896471.4912504,5.794918799928062,13.94333551000764,10269230011.727428,8.96
2022-08-15,7.701497442133373,,1222727623.0504634,1141778490.19281,,636001460.3722806,5.79671982616905,13.944651497442456,10041639796.466433,8.8
2022-08-16,7.700494444796482,,1223063067.6017134,1142113934.71451,,636053268.8698454,5.798143441448866,13.945123599855444,10130637438.307688,8.87
2022-08-17,7.698328937200446,,1223397926.040173,1142448793.14701,,635962484.0645643,5.804068151672115,13.949213346927555,9595407421.426285,8.43
2022-08-18,7.697628170460158,,1223747557.927281,1142798425.03261,,636058478.0614657,5.804992283632426,13.949467175410504,9624458514.19842,8.41
2022-08-19,7.6975914245554735,,1224058748.7642477,1143109615.86438,,636215725.5729157,5.806658646987373,13.951222929606583,8398821467.255757,7.34
2022-08-20,7.681226939607306,,1224396950.3377717,1143445940.46366,,634387846.3863091,5.836354862055448,13.965885463618038,8280126905.910333,7.25
