date,inflationrate,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,rewardrate1,marketcap,price
2022-06-03,0.4896114668402763,,121033214.6865,,12715853.75,4.156026921450517,4.6618099457702815,216835197124.0,1793.34
2022-06-04,0.4897542045647093,,121046061.4365,,12727966.333333334,4.233104795130105,4.659956653342035,217875954506.0,1805.02
2022-06-05,0.4898546286482458,,121058226.6865,,12733182.333333334,4.233104795130105,4.658533138054882,220147904886.0,1817.58
2022-06-06,0.4899024475167817,,121070599.0615,,12747390.333333334,4.233104795130105,4.657602407873895,226900058271.0,1875.03
2022-06-07,0.4901632510370465,,121082781.499,,12750780.555555556,4.233104795130105,3.840091077417869,223367155206.0,1843.65
2022-06-08,0.4885429768730318,,121095006.6865,,12750865.888888888,4.160751713255495,4.669621750408761,218796504225.0,1807.51
2022-06-09,0.4899372961804347,,121112337.8115,,12753160.9,4.228562483691145,4.655666090250812,217543937319.0,1794.9
2022-06-10,0.4901072170050915,,121124581.499,,12760434.2,4.2115206797952,3.8392047516174186,203817546237.0,1681.46
2022-06-11,0.4899987850742448,,121136948.6865,,12765037.0,4.225001672525908,4.654136107682449,187021933897.0,1544.15
2022-06-12,0.4899689651178245,,121149184.499,,12783575.857142856,4.222842809224825,4.653949276081235,177719112075.0,1472.08
2022-06-13,0.4909696976636227,,121161456.499,,12810752.666666666,4.218214882849036,4.64399281477305,149282335384.0,1227.58
2022-06-14,0.4907526596116254,,121173543.1865,,12823725.25,4.170011020708531,3.832606154189894,141888608990.0,1169.79
2022-06-15,0.4910225571024798,,121185633.4365,,12824715.181818182,4.2141312333511705,4.642566488511331,150839091945.0,1236.2
2022-06-16,0.4910466604745589,,121190722.499,,12837045.5,4.211154371516002,3.829768521931048,141125811084.0,1163.39
2022-06-17,0.4915591751099799,,121210097.999,,12854304.333333334,4.211154371516002,3.825163935798017,131573303499.0,1087.17
2022-06-18,0.4839951869414614,,121222338.6865,,12865816.6,4.20420477032557,3.8845521874537736,114938111901.0,951.14
2022-06-19,0.4918466453650401,,121234390.249,,12872311.285714284,4.139976865985662,3.822162220838516,137071640458.0,1130.34
2022-06-20,0.4837829774652681,,121246553.9365,,12874477.0,4.205544008999973,3.8854799713047554,133190792381.0,1098.22
2022-06-21,0.491997985502118,,121258102.0615,,12883607.0,4.203567962036159,3.820239324325578,136764739914.0,1127.69
2022-06-22,0.4920395962129681,,121269250.999,,12888156.0,4.202556387526024,4.629775841834709,128509426633.0,1060.78
2022-06-23,0.492264908738998,,121280380.624,,12907777.0,4.195088281285786,3.8174664798727087,136754637887.0,1132.65
2022-06-24,0.4919345647532494,,121291528.8115,,12911722.0,4.196107429387541,3.819678877765356,149318903789.0,1232.49
2022-06-25,0.4916931886425054,,121302695.499,,12912763.625,4.119810215662212,4.631760230520128,151309927196.0,1247.37
2022-06-26,0.4923434844417172,,121313799.374,,12913761.4,4.115980761765425,3.815805786760271,149989775070.0,1235.19
2022-06-27,0.4922053541950978,,121324979.4365,,12915969.75,4.113779873844958,3.8165249128483487,145881111632.0,1203.11
2022-06-28,0.4925682241641153,,121336088.499,,12930105.0,4.123438812491309,3.813364149181481,141349230627.0,1163.34
2022-06-29,0.4925288077883835,,121347150.249,,12931242.5,4.1766383234711935,4.622208098443552,135226261741.0,1115.81
2022-06-30,0.4921330135635731,,121358910.0615,,12933682.5,4.128941099968109,3.816018703848152,124221710324.0,1020.6
2022-07-01,0.4923301513333815,,121372236.999,,12937307.0,4.11862409572632,4.6231174090788505,127611718542.0,1066.77
2022-07-02,0.4925976371157752,,121386036.1865,,12943862.076923076,4.188814482665637,4.620081735432137,128359239854.0,1073.5
2022-07-03,0.4925761812907193,,121399591.249,,12948400.222222222,4.188814482665637,4.619767093780433,128600444572.0,1077.13
2022-07-04,0.4922460023406795,,121413119.999,,12949679.555555556,4.1897665506137605,4.622350734977928,135617190146.0,1134.13
2022-07-05,0.4925815673054697,,121426762.3115,,12952515.727272728,4.112726034407843,3.810413350473505,137688315238.0,1150.94
2022-07-06,0.4925581781419771,,121440324.9365,,12959874.25,4.186316089898945,3.8101687157544575,140103334130.0,1184.41
2022-07-07,0.4925859802211882,,121453716.0615,,12962941.23076923,4.11506781957327,3.8095335916181527,148025517940.0,1236.52
2022-07-08,0.4925968430913615,,121467389.624,,12963771.0,4.165830478343535,3.8090207537532312,147813809688.0,1236.15
2022-07-09,0.4926149126482365,,121480773.1865,,12972345.4,4.128748322008113,3.8084614102253327,146219494996.0,1223.14
2022-07-10,0.4927894340446705,,121494248.4365,,12976949.574468086,4.116327255964114,3.806690386494465,140610801551.0,1165.75
2022-07-11,0.492214310997519,,121507744.124,,12978060.468085106,4.106620773814007,3.810714979465884,133512980656.0,1115.59
2022-07-12,0.4921093415567651,,121521492.499,,12979171.361702127,4.107189831167757,4.619511037559184,125016711606.0,1045.7
2022-07-13,0.4923391982621999,,121534696.0615,,12980559.978723405,4.130767315365636,4.6168527117324585,130455618917.0,1088.56
2022-07-14,0.4930258735478265,,121548369.249,,12999510.0,4.111185946257256,3.803170659126701,141516207400.0,1182.76
2022-07-15,0.4937166980680016,,121561906.249,,13043369.0,4.103466017739543,3.797426214297369,150051724759.0,1258.1
2022-07-16,0.4934941680406757,,121575395.124,,13052076.2,4.172782984531831,3.7987170606345098,150051724759.0,1258.1
2022-07-17,0.4940197986493767,,121588820.999,,13060665.0,4.152999450665473,4.599098504397831,162869226771.0,1359.55
2022-07-18,0.4940682567477095,,121602356.6865,,13069421.636363637,4.1653814649172505,3.7934618250738086,178344068435.0,1489.12
2022-07-19,0.4941549258093947,,121616001.6865,,13078766.25,4.1653814649172505,4.596813277346,189016458870.0,1579.01
2022-07-20,0.4943262993194452,,121629463.8115,2.292524227518846,13088273.88235294,4.152529838258179,4.594711044195627,184941324868.0,1543.49
2022-07-21,0.4938033355796405,,121643140.374,2.292524227518846,13094145.411764706,4.127909505261362,4.599059946253535,190427992526.0,1580.56
2022-07-22,0.4944894638326827,,121656677.374,2.312023292609214,13101046.0,4.158607161815753,4.592167489025667,184523235943.0,1541.57
2022-07-23,0.4945146677323661,,121669488.9365,2.2936125352984296,13108119.0,4.157795280681498,4.591449918564377,181118556193.0,1511.87
2022-07-24,0.4945432822106304,,121678337.999,2.2936125352984296,13109592.090909092,4.157474054797872,4.590850361290106,194354687732.0,1620.28
2022-07-25,0.494578386177653,,121691225.4365,2.196359646279216,13113359.5,4.157474054797872,4.59003836468704,182495067755.0,1521.4
2022-07-26,0.4933840917935071,,121704741.6865,2.134223069798692,13115959.9,4.087088962262486,4.600638100813266,165470153664.0,1388.12
2022-07-27,0.4935492347747314,,121718300.124,2.119258791465417,13118560.3,4.084876301172069,4.59858641167274,192779071600.0,1613.88
2022-07-28,0.4945887175276391,,121731909.0615,2.1162272471703027,13123353.0,4.084876301172069,4.588408494678846,209067970877.0,1738.95
2022-07-29,0.4947809770810451,,121745130.1865,2.06307182069843,13135249.416666666,4.084876301172069,4.58612746092686,205496221751.0,1716.56
2022-07-30,0.4947530768155043,,121758674.1865,2.017958760243363,13137930.833333334,4.084876301172069,4.585875910011838,202231482193.0,1686.78
2022-07-31,0.4947935465851406,,121772286.9365,1.93985981328874,13142297.833333334,4.084876301172069,4.584988219022865,204531844350.0,1704.07
2022-08-01,0.4864028910561999,,121785760.124,1.880847543952345,13142666.833333334,4.1569428348076976,4.663565215991946,194620682194.0,1620.78
2022-08-02,0.4947875940400514,,121799250.874,1.7878542316035226,13147454.333333334,4.1569428348076976,4.584028341132419,198387036228.0,1655.29
2022-08-03,0.4945566936252899,,121812507.9365,1.8049045799771248,13150921.833333334,4.070979433386901,4.585669428296103,196587193292.0,1638.93
2022-08-04,0.4942613930028364,,121826181.0615,1.795634416838901,13152252.416666666,4.073499070052344,4.587894196302784,191038323233.0,1591.54
2022-08-05,0.4945415527724179,,121839532.4365,1.7706992241743686,13156317.684210526,4.070122671109289,4.58479267173915,204004700470.0,1702.18
2022-08-06,0.4942947752791857,,121853005.4365,1.73712195833096,13160289.368421054,4.072151248185008,4.5865744543254445,206050490960.0,1716.13
2022-08-07,0.4873241841427881,,121866566.874,1.726886289832176,13164592.02631579,4.144142637847104,4.651662231289504,206090915898.0,1716.65
2022-08-08,0.4945487241801751,,121884341.8115,1.6318250053089205,13168244.3125,4.144142637847104,4.583040666230676,212745365864.0,1772.02
2022-08-09,0.4935877835344247,,121899021.874,1.5954348454270275,13173339.0,4.077695361298028,4.591410150985597,203898688675.5921,1699.21
2022-08-10,0.4949817147089656,,121912153.624,1.5675089713873973,13181402.0,4.077695361298028,4.577986988384874,223091242692.08377,1860.01
2022-08-11,0.4951626169796483,,121924257.124,1.5683922330576454,13206562.25,4.119558503774989,4.575860176974374,227472322799.6013,1892.82
2022-08-12,0.495650204505015,,121937627.6865,1.5633961738628417,13228810.0,4.119558503774989,4.5708574984583255,231228937452.1504,1924.25
2022-08-13,0.4961287142458749,,121952031.749,1.5585369139887195,13251547.0,4.119558503774989,4.5659096105819845,238972145963.99588,1990.11
2022-08-14,0.4961026900889377,,121965340.6865,1.5292896339088582,13257341.57142857,4.052835775525199,4.56565086422475,234116245466.22067,1938.58
2022-08-15,0.4959271699961803,,121978453.999,1.4709131998789533,13258575.3125,4.050759760687872,4.566775748928567,228723649511.4339,1904.1
2022-08-16,0.4960710992424466,,121992557.999,1.4215855815793406,13259827.6,4.056586021877151,4.5649229239323015,225420765112.27423,1878.72
2022-08-17,0.49642432850838,,122005017.499,1.4126256545511655,13278802.0,4.06231670361743,4.561208915262478,220527215636.1524,1839.26
