date,inflationrate,totalsupply,circulatingsupply,stakedtokens,realrewardrate,rewardrate1,marketcap,price
2023-10-31,,,,,,,341622822.1323995,2.39
2023-11-01,,,,,,,356884249.242194,2.52
2023-11-02,,,,,,,334870941.7364247,2.36
2023-11-03,,,,,,,337395787.8745468,2.39
2023-11-04,,,,,,,343295951.98989564,2.43
2023-11-05,,,,,,,326979664.11298335,2.31
2023-11-06,,,,,,,334220296.52667505,2.37
2023-11-07,,,,,,,326826325.8380952,2.33
2023-11-08,,,,,,,336270385.8136693,2.39
2023-11-09,,,,,,,335010398.42093194,2.38
2023-11-10,,,,,,,432744158.46757495,3.09
2023-11-11,,,,,,,551302725.6044115,3.88
2023-11-12,,,,,,,660874940.5289179,4.68
2023-11-13,,,,,,,682660788.7965561,4.65
2023-11-14,,,,,,,860770459.962577,6.08
2023-11-15,,,,,,,841797484.560036,5.97
2023-11-16,,,,,,,808130980.2989259,5.71
2023-11-17,,,,,,,929693340.927932,6.62
2023-11-18,,,,,,,1007610893.3348504,7.12
2023-11-19,,,,,,,966391303.9260042,6.85
2023-11-20,,,,,,,861488627.1100894,6.1
2023-11-21,,,,,,,745712694.623604,5.27
2023-11-22,,,,,,,857895090.8433747,6.08
2023-11-23,,,,,,,844726271.9880787,5.78
2023-11-24,,,,,,,801699476.6028941,5.52
2023-11-25,,,,,,,861818923.221775,5.92
2023-11-26,,,,,,,794017611.790223,5.45
2023-11-27,,,,,,,863309977.0018725,5.9
2023-11-28,,,,,,,918424912.495726,6.28
2023-11-29,,,,,,,883046632.9353508,6.06
2023-11-30,,,,,,,924030490.6881168,6.33
2023-12-01,,,,,,,1030397557.7221404,7.07
2023-12-02,,,,,,,1290986607.4106245,8.87
2023-12-03,,,,,,,1266073326.257622,8.56
2023-12-04,,,,,,,1287017135.581799,8.82
2023-12-05,,,,,,,1513479118.640325,10.4
2023-12-06,,,,,,,1404223346.1664283,9.68
2023-12-07,,,,,,,1392276107.6495152,9.5
2023-12-08,,,,,,,1358460716.4831388,9.3
2023-12-09,,,,,,,1356525130.9681082,9.3
2023-12-10,,,,,,,1431948017.332833,9.84
2023-12-11,,,,,,,1591233867.2124057,10.92
2023-12-12,,,,,,,1785131187.2687087,12.25
2023-12-13,,,,,,,1768394467.965433,12.13
2023-12-14,,,,,,,2075348152.3456693,14.01
2023-12-15,,,,,,,1915992488.846084,13.14
2023-12-16,,,,,,,1888022795.4555545,12.96
2023-12-17,,,,,,,1858702668.7461607,12.74
2023-12-18,,,,,,,1801165296.0619953,12.58
2023-12-19,,,,,,,1703909795.4079826,11.7
2023-12-20,,,,,,,1907697518.684034,13.07
2023-12-21,,,,,,,1864580448.279178,12.79
2023-12-22,,,,,,,1816548389.2873547,12.45
2023-12-23,,,,,,,1787857829.140001,12.32
2023-12-24,,,,,,,2069545161.638445,14.25
2023-12-25,,,,,,,2002104475.74587,13.74
2023-12-26,,,,,,,1859221255.3391583,12.74
2023-12-27,,,,,,,1836329300.3456657,12.61
2023-12-28,,,,,,,1742950137.359645,11.92
2023-12-29,,,,,,,1797005419.5848649,12.36
2023-12-30,,,,,,,1746377238.534451,11.94
2023-12-31,,,,,,,1727993212.4020455,11.84
2024-01-01,,,,,,,2017445945.500472,13.96
2024-01-02,,,,,,,1860692215.9083383,12.73
2024-01-03,,,,,,,1781115435.4251256,12.16
2024-01-04,,,,,,,2269169407.505653,15.62
2024-01-05,,,,,,,2270713845.529745,15.54
2024-01-06,,,,,,,2076150951.3664832,14.26
2024-01-07,,,,,,,2064996170.627778,14.2
2024-01-08,,,,,,,2065873448.570006,14.14
2024-01-09,,,,,,,2191969995.336617,14.96
2024-01-10,,,,,,,2397516872.0358386,16.41
2024-01-11,,,,,,,2509728989.25486,16.02
2024-01-12,,,,,,,2554204788.028444,16.27
2024-01-13,,,,,,,2882035538.3469133,18.38
2024-01-14,,,,,,,2853793715.4006543,18.14
2024-01-15,,,,,,,3012947903.887793,19.14
2024-01-16,50.65848428303315,1016876712.32871,157920240.078707,494832716.881356,-23.1083873485364,15.84373816147602,2969797522.5640464,18.81
2024-01-17,50.58827263333199,1017095890.4109,158139418.160898,495147141.611401,-23.07921781641269,15.833677186311924,2872890147.080061,18.17
2024-01-18,50.51825533815397,1017315068.49309,158358596.243089,495449972.0191,-23.049865932362646,15.823999278978183,2676584054.56137,16.87
2024-01-19,50.44843159161847,1017534246.57528,158577774.32528,495724341.739224,-23.019974414114618,15.815241132791169,2832292129.2093573,17.75
2024-01-20,50.37880059229411,1017753424.65747,158796952.407471,495897680.469203,-22.988005933946475,15.809712988740008,2784063289.865855,17.55
2024-01-21,50.309361543168094,1017972602.73966,159016130.489662,496183726.017294,-22.95824601127634,15.800968542108784,2683696629.310396,16.85
